what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663211407
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663221204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663266814
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663275674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663276221
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1554663276221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1554663276221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663279675
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663295175
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1554663298676
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1554663298769
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1554663299379
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1554663299379
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1554663300019
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663303973
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663323458
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663328161
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1554663339615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1554663342474
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1554663344662
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554663344693
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554663344850
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1554663345396
